Componente,Detalhe
Modelo,Caloi 29 Sport MY26
Preço Sugerido,R$ 2.190.00
Quadro,Alumínio 6061 conformado
Suspensão,100mm
Transmissão,Shimano Tourney / Altus (3x7v)
Velocidades,21v
Freios,Disco Mecânico Logan
Pneus,MTB 29"
Link,https://caloi.com/produto/caloi-29-sport-my26/
Fonte,Online (Caloi)
