Componente,Detalhe
Modelo,Colli Denver
Preço Sugerido,R$ 1.599.90
Quadro,Alumínio 6061 com cabeamento interno
Suspensão,XC600
Transmissão,Shimano TZ500/TY300 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-denver/
Fonte,Online (Colli)
