Componente,Detalhe
Modelo,Sense React Pro
Preço Sugerido,R$ 3.990.00
Quadro,Alumínio 6061 T4/T6 Hidroformado
Suspensão,RST Blaze 100mm com trava guidão
Transmissão,Shimano Cues 18v (2x9)
Velocidades,18v
Freios,Disco Hidráulico Shimano MT200
Pneus,MTB 29"
Link,https://www.sensebike.com.br/products/react-pro
Fonte,Online (Sense)
