Componente,Detalhe
Modelo,Colli Munique
Preço Sugerido,R$ 1.999.90
Quadro,Alumínio
Suspensão,Aço 100mm
Transmissão,Shimano Tourney 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico Colli 2 Pistões
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-munique/
Fonte,Online (Colli)
