Componente,Detalhe
Modelo,Colli Hills
Preço Sugerido,R$ 2.299.90
Quadro,Alumínio 6061 com cabeamento interno
Suspensão,Aço Carbono com trava no guidão
Transmissão,Shimano Acera/Altus 24v (3x8)
Velocidades,24v
Freios,Disco Hidráulico Colli
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-hills/
Fonte,Online (Colli)
