Componente,Detalhe
Modelo,Colli Valência (Cues)
Preço Sugerido,R$ 3.199.90
Quadro,Alumínio 6061 com cabeamento interno
Suspensão,Over Ahead com trava no guidão
Transmissão,Shimano CUES 18v (2x9)
Velocidades,18v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-valencia/
Fonte,Online (Colli)
