Componente,Detalhe
Modelo,Colli Eudora
Preço Sugerido,R$ 1.599.90
Quadro,Alumínio (Rebaixado)
Suspensão,Aço
Transmissão,Shimano 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-eudora/
Fonte,Online (Colli)
