Componente,Detalhe
Modelo,Soul Spry City Urban (Microshift)
Preço Sugerido,R$ 4.600.00
Quadro,Soul Spry Alumínio
Suspensão,Garfo Rígido Soul Spry Disc Carbono
Transmissão,Microshift 8v (1x8)
Velocidades,8v
Freios,Brave Mecânico Flat Mount
Pneus,Vittoria Roadster 29x1.5 (Urbano)
Link,https://www.soulcycles.com.br/spry-city-urban-microshift/p
Fonte,Online (Soul)
