Componente,Detalhe
Modelo,Colli Moscow
Preço Sugerido,R$ 2.999.90
Quadro,Alumínio 6061 com cabeamento interno
Suspensão,Over Ahead com trava no guidão
Transmissão,LTW00 Colli 12v (1x12)
Velocidades,12v
Freios,Disco Hidráulico Colli
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-moscow/
Fonte,Online (Colli)
