Componente,Detalhe
Modelo,Soul SL329 Pico do Lopo (Cues)
Preço Sugerido,R$ 4.600.00
Quadro,Soul SL329 Alumínio 6061
Suspensão,Suntour XCM RL DS29 100mm
Transmissão,Shimano Cues 11v (1x11)
Velocidades,11v
Freios,Brave Hidráulico
Pneus,Vittoria Mezcal III 29x2.1
Link,https://www.soulcycles.com.br/sl329-pico-do-lopo-shimano-cues/p
Fonte,Online (Soul)
