Componente,Detalhe
Modelo,Caloi Aspen
Preço Sugerido,R$ 1.799.00
Quadro,Alumínio 6061 tratado
Suspensão,80mm com Trava Mecânica
Transmissão,Shimano Tourney TX800 (3x8v)
Velocidades,24v
Freios,Disco Hidráulico Logan HDM500
Pneus,MTB 29"
Link,https://caloi.com/produto/aspen/
Fonte,Online (Caloi)
