Componente,Detalhe
Modelo,Caloi Aluminum Pro
Preço Sugerido,R$ 2.399.00
Quadro,Alumínio
Suspensão,100mm com Trava no Crown
Transmissão,Microshift XLE (2x10v)
Velocidades,20v
Freios,Disco Hidráulico Logan HDM500
Pneus,MTB 29"
Link,https://caloi.com/produto/aluminum-pro/
Fonte,Online (Caloi)
