Componente,Detalhe
Modelo,TSW Stamina 18v Alivio
Preço Sugerido,Sob consulta
Quadro,Alumínio 6061
Suspensão,SR Suntour XCM 32 (100mm)
Transmissão,Shimano Alivio 18v (2x9)
Velocidades,18v
Freios,Shimano Hidráulico
Pneus,MTB 29"
Link,https://tswbike.com/p/2079/stamina-18v-alivio
Fonte,Online (TSW)
