Componente,Detalhe
Modelo,TSW Evo Quest Sport
Preço Sugerido,Sob consulta
Quadro,Carbono Toray T700/800/1000
Suspensão,RockShox Judy Silver (100mm)
Transmissão,SRAM NX Eagle 12v (1x12)
Velocidades,12v
Freios,Shimano MT200 Hidráulico
Pneus,MTB 29"
Link,https://tswbike.com/p/2159/evo-quest-sport
Fonte,Online (TSW)
