Componente,Detalhe
Modelo,Oggi Big Wheel 7.0 2026
Preço Sugerido,R$ 3.649.00
Quadro,Alumínio 6061 T6 tratado - Rota interna
Suspensão,MTB 29" 100mm com trava remota
Transmissão,Shimano Cues 9v (1x9)
Velocidades,9v
Freios,Disco Hidráulico
Pneus,29" x 2.10
Link,https://oggibikes.com.br/bike/big-wheel-7-0-2026/
Fonte,Online (Oggi)
