Componente,Detalhe
Modelo,Colli Toronto
Preço Sugerido,R$ 1.549.90
Quadro,Alumínio
Suspensão,Aço
Transmissão,Shimano TZ31/TY300 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-toronto/
Fonte,Online (Colli)
