Componente,Detalhe
Modelo,CALOI 29
Preço Sugerido,R$ 2.190.00
Quadro,Alumínio 6061 conformado
Suspensão,Caloi 100mm com Trava Hidráulica
Transmissão,Shimano Tourney / Altus (3x7v)
Velocidades,21v
Freios,Disco Hidráulico Promax Solve
Pneus,MTB 29"
Link,https://caloi.com/produto/caloi-29/
Fonte,Online (Caloi)
