Componente,Detalhe
Modelo,Colli Reserve
Preço Sugerido,R$ 2.799.90
Quadro,Alumínio 6061 com cabeamento interno
Suspensão,Over Ahead com trava no guidão
Transmissão,Shimano Alivio/Altus 27v (3x9)
Velocidades,27v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-reserve/
Fonte,Online (Colli)
