Componente,Detalhe
Modelo,Colli Freeride
Preço Sugerido,R$ 2.099.90
Quadro,Alumínio (Tam. 13.5'')
Suspensão,Over Ahead Set
Transmissão,Shimano Tourney/TZ500 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico 160mm
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-freeride/
Fonte,Online (Colli)
