Componente,Detalhe
Modelo,TSW Stamina Cues 9v
Preço Sugerido,R$ 4.490.00
Quadro,Alumínio 6061 T4-T6
Suspensão,SR Suntour XCM 32 (100mm)
Transmissão,Shimano CUES 9v (1x9)
Velocidades,9v
Freios,Shimano MT200 Hidráulico
Pneus,MTB 29"
Link,https://tswbike.com/p/1109/stamina-cues-9v
Fonte,Online (TSW)
