Componente,Detalhe
Modelo,Soul SL329 Ibituruna (Cues)
Preço Sugerido,R$ 4.600.00
Quadro,Soul SL329 Alumínio
Suspensão,Suntour XCM RL DS29 100mm
Transmissão,Shimano Cues 11v (1x11)
Velocidades,11v
Freios,Brave Hidráulico
Pneus,Vittoria Mezcal III 29x2.1
Link,https://www.soulcycles.com.br/sl329-ibituruna-shimano-cues/p?skuId=7245
Fonte,Online (Soul)
