Componente,Detalhe
Modelo,Oggi Big Wheel 7.1 2026
Preço Sugerido,R$ 4.499.00
Quadro,Alumínio 6061 T6 tratado - Rota interna
Suspensão,Suntour XCM 100mm com trava remota
Transmissão,Shimano Cues 10v (1x10)
Velocidades,10v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://oggibikes.com.br/bike/nova-big-wheel-7-1-2026/
Fonte,Online (Oggi)
