Componente,Detalhe
Modelo,KRW CS2 Shimano Cues 18v
Preço Pix,R$ 2.348.99
Quadro,Alumínio 6061 K 4.0
Suspensão,Hidráulica com trava no guidão
Transmissão,Shimano Cues 18v (2x9)
Velocidades,18v
Freios,Disco Hidráulico Shimano
Pneus,MTB 29"
Link,https://www.krwbikes.com.br/produtos/bicicleta-aro-29-krw-aluminio-shimano-cues-freio-hidraulico-suspensao-trava-de-guidao-18-velocidades-cs2/
Fonte,Online (KRW)
