Componente,Detalhe
Modelo,Colli Hills G2
Preço Sugerido,R$ 2.699.90
Quadro,MTB HT Alumínio 6061 T4+T6
Suspensão,Mola Aço com trava no guidão
Transmissão,Shimano Acera 16v (2x8)
Velocidades,16v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/hills-g2/
Fonte,Online (Colli)
