Componente,Detalhe
Modelo,Oggi Hacker Sport
Preço Sugerido,R$ 2.199.00
Quadro,Alumínio 6061 T6 tratado
Suspensão,MTB 29" 100mm
Transmissão,Shimano Altus 21v (3x7)
Velocidades,21v
Freios,Disco Mecânico 160mm
Pneus,MTB 29"
Link,https://oggibikes.com.br/bike/hacker-sport/
Fonte,Online (Oggi)
