Componente,Detalhe
Modelo,Sense React Sport
Preço Sugerido,R$ 3.190.00
Quadro,Alumínio 6061 T4/T6 Hidroformado
Suspensão,Sentec Remote Lock 100mm com trava guidão
Transmissão,Shimano Altus 16v (2x8)
Velocidades,16v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://www.sensebike.com.br/products/bicicleta-react-sport
Fonte,Online (Sense)
