Componente,Detalhe
Modelo,KRW CS1 Shimano Cues 9v
Preço Pix,R$ 2.699.99
Quadro,Alumínio 6061 K 4.0
Suspensão,Hidráulica com trava no guidão
Transmissão,Shimano Cues 9v (1x9)
Velocidades,9v
Freios,Disco Hidráulico Shimano
Pneus,MTB 29"
Link,https://www.krwbikes.com.br/produtos/bicicleta-krw-cs1-aro-29-aluminio-shimano-cues-9v/
Fonte,Online (KRW)
