Componente,Detalhe
Modelo,Colli Moscow G2
Preço Sugerido,R$ 3.999.90
Quadro,MTB HT Alumínio 6061 T4+T6
Suspensão,Alumínio com trava no guidão
Transmissão,Shimano Deore / Inviktus 12v (1x12)
Velocidades,12v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/moscow-g2/
Fonte,Online (Colli)
