Componente,Detalhe
Modelo,Caloi 29 Comp MY26
Preço Sugerido,R$ 2.690.00
Quadro,Alumínio 6061 conformado
Suspensão,100mm
Transmissão,Shimano Tourney TX800 / Altus (3x8v)
Velocidades,24v
Freios,Disco Hidráulico Logan M500
Pneus,MTB 29"
Link,https://caloi.com/produto/caloi-29-comp-my26/
Fonte,Online (Caloi)
