Componente,Detalhe
Modelo,Colli Napoli (Cues)
Preço Sugerido,R$ 3.199.90
Quadro,Alumínio 6061
Suspensão,Over Ahead com trava no guidão
Transmissão,Shimano CUES 9v (1x9)
Velocidades,9v
Freios,Disco Hidráulico
Pneus,MTB 29"
Link,https://collibike.com.br/bicicletas/colli-napoli/
Fonte,Online (Colli)
