Componente,Detalhe
Modelo,Caloi Explorer Sport 2026
Preço Sugerido,R$ 3.590.00
Quadro,"Alumínio 6061 e 6069, Tapered, Cabeamento Interno"
Suspensão,Caloi 100mm com Trava no Crown
Transmissão,Shimano Cues U4000 (1x9v)
Velocidades,9v
Freios,Disco Hidráulico Logan
Pneus,MTB 29"
Link,https://caloi.com/produto/explorer-sport-2026/
Fonte,Online (Caloi)
