Componente,Detalhe
Modelo,Colli Amsterdã Man
Preço Sugerido,R$ 3.499.90
Quadro,Urbano Alumínio 6061 T4/T6
Suspensão,Garfo Rígido Alumínio
Transmissão,Shimano ESSA U2000 8v (1x8)
Velocidades,8v
Freios,Disco Hidráulico
Pneus,700c / Urbano
Link,https://collibike.com.br/bicicletas/amsterda-man/
Fonte,Online (Colli)
