Componente,Detalhe
Modelo,Caloi Explorer Comp SL 2026
Preço Sugerido,R$ 4.490.00
Quadro,"Alumínio 6069 Hidroformado, Tapered, Boost, Cabeamento Interno"
Suspensão,Caloi 100mm com Trava Remota
Transmissão,Shimano Cues U6000 (1x10v)
Velocidades,10v
Freios,Disco Hidráulico Shimano MT200
Pneus,MTB 29"
Link,https://caloi.com/produto/explorer-comp-sl-2026/
Fonte,Online (Caloi)
